Sidoharjo	1	0	0	0	0	\N	PERANGKAT DESA
Sambirejo	1	1	0	0	0	\N	SEDES NON PNS
Tlogorejo	1	0	0	0	0	\N	PERANGKAT DESA
Ngurensiti	1	0	0	0	0	\N	PERANGKAT DESA
Lahar	1	0	0	0	0	\N	PERANGKAT DESA
Guwo	1	0	0	0	0	\N	PERANGKAT DESA
Ngurensiti	1	0	0	0	0	\N	PERANGKAT DESA
Sukoharjo	1	0	0	0	0	\N	PERANGKAT DESA
Gunungsari	1	0	0	0	0	\N	PERANGKAT DESA
Sidoharjo	1	0	0	0	0	\N	PERANGKAT DESA
Sidomulyo	1	0	0	0	0	\N	PERANGKAT DESA
Tlogosari	1	0	0	0	0	\N	PLT KADES
Jontro	1	0	0	0	0	\N	PERANGKAT DESA
Ngurenrejo	1	1	0	0	0	\N	SEDES NON PNS
Dukuhmulyo	1	0	0	0	0	\N	KADES
Dukuhmulyo	1	0	0	0	0	\N	PERANGKAT DESA
Puluhan Tengah	1	0	0	0	0	\N	PERANGKAT DESA
Sendangsoko	1	0	0	0	0	\N	PERANGKAT DESA
Kalimulyo	1	0	0	0	0	\N	PERANGKAT DESA
Tondomulyo	1	0	0	0	0	\N	PERANGKAT DESA
Bakaran Kulon	1	0	0	0	0	\N	PERANGKAT DESA
Dukuhmulyo	1	0	0	0	0	\N	PERANGKAT DESA
Sidoarum	1	0	0	0	0	\N	PERANGKAT DESA
Sundoluhur	1	0	0	0	0	\N	PEMDES
Slungkep	1	0	0	0	0	\N	PEMDES
Purwokerto	1	0	0	0	0	\N	PERANGKAT DESA
Margomulyo	1	0	0	0	0	\N	KADES
Kedungbang	1	0	0	0	0	\N	PERANGKAT DESA
Kropak	1	0	0	0	0	\N	KADES
Danyangmulyo	1	0	0	0	0	\N	KADES
Tanjungrejo	1	0	0	0	0	\N	KADES
Ngetuk	1	0	0	0	0	\N	Sekretaris Desa / PNS
Mojo	1	0	0	0	0	\N	KADES
Kertomulyo	1	0	0	0	0	\N	KADES
Karangmulyo	1	0	0	0	0	\N	SEDES NON PNS
Blaru	1	0	0	0	0	\N	PERANGKAT DESA
Kenanti	1	0	0	0	0	\N	SEDES NON PNS
Pasucen	1	0	0	0	0	\N	SEDES NON PNS
Bakalan	1	0	0	0	0	\N	PERANGKAT DESA
Pangkalan	1	0	0	0	0	\N	STAF ADIM DAN UMUM
Boloagung	1	0	0	0	0	\N	KADES
Kenanti	1	0	0	0	0	\N	KADES
Bulumanis Lor	1	0	0	0	0	\N	PERANGKAT DESA
Koripandriyo	1	0	0	0	0	\N	KADES
Kedungsari	1	0	0	0	0	\N	PERANGKAT DESA
Bodeh	1	0	0	0	0	\N	KADES
Karangrejo	1	0	0	0	0	\N	KADES
Kepohkencono	1	0	0	0	0	\N	KASI KESEJAHTERAAN RAKYAT
Bodeh	1	0	0	0	0	\N	STAF KADUS
Karangsari	1	0	0	0	0	\N	PERANGKAT DESA
Sukolilo	1	0	0	0	0	\N	KADES
Kauman	1	0	0	0	0	\N	KADES
Kedalon	1	0	0	0	0	\N	Sekretaris Desa / PNS
Tlogorejo	1	0	0	0	0	\N	KASI KESEJAHTERAAN RAKYAT
Genengmulyo	1	0	0	0	0	\N	PERANGKAT DESA
Jembangan	1	0	0	0	0	\N	PERANGKAT DESA
Pekuwon	1	0	0	0	0	\N	PERANGKAT DESA
Jepuro	1	0	0	0	0	\N	PERANGKAT DESA
Gadingrejo	1	0	0	0	0	\N	PERANGKAT DESA
GrowongLor	1	0	0	0	0	\N	PERANGKAT DESA
Kuniran	1	0	0	0	0	\N	PERANGKAT DESA
Genengmulyo	1	0	0	0	0	\N	PERANGKAT DESA
Doropayung	1	0	0	0	0	\N	PERANGKAT DESA
Ngening	1	0	0	0	0	\N	PERANGKAT DESA
Kedalon	1	0	0	0	0	\N	PERANGKAT DESA
Tlogoharum	1	0	0	0	0	\N	PERANGKAT DESA
Bumirejo	1	0	0	0	0	\N	PERANGKAT DESA
Gadingrejo	1	0	0	0	0	\N	PERANGKAT DESA
Mintomulyo	1	0	0	0	0	\N	PERANGKAT DESA
Kudukeras	1	0	0	0	0	\N	KADES
Karang	1	0	0	0	0	\N	PERANGKAT DESA
Lengkong	1	0	0	0	0	\N	PERANGKAT DESA
Margomulyo	1	0	0	0	0	\N	PERANGKAT DESA
Lengkong	1	0	0	0	0	\N	PERANGKAT DESA
Bulumulyo	1	0	0	0	0	\N	PERANGKAT DESA
Kebonsawahan	1	0	0	0	0	\N	PERANGKAT DESA
Gajahkumpul	1	0	0	0	0	\N	PERANGKAT DESA
Bendar	1	0	0	0	0	\N	PERANGKAT DESA
Mintomulyo	1	0	0	0	0	\N	PERANGKAT DESA
Raci	1	0	0	0	0	\N	PERANGKAT DESA
Karangrejo	1	0	0	0	0	\N	PERANGKAT DESA
Bakaran Wetan	1	0	0	0	0	\N	PERANGKAT DESA
Bumirejo	1	0	0	0	0	\N	PERANGKAT DESA
Mangunlegi	1	1	0	0	0	\N	Sekretaris Desa / PNS
Kudukeras	1	0	0	0	0	\N	PERANGKAT DESA
Jembangan	1	0	0	0	0	\N	PERANGKAT DESA
Tlogomojo	1	0	0	0	0	\N	PERANGKAT DESA
Mintomulyo	1	0	0	0	0	\N	PERANGKAT DESA
Gunungsari	1	0	0	0	0	\N	PERANGKAT DESA
Trimulyo	1	0	0	0	0	\N	PERANGKAT DESA
Bumirejo	1	0	0	0	0	\N	PERANGKAT DESA
Bakaran Kulon	1	0	0	0	0	\N	PERANGKAT DESA
GrowongLor	1	0	0	0	0	\N	PERANGKAT DESA
Karang	1	0	0	0	0	\N	PERANGKAT DESA
Karangrejo	1	0	0	0	0	\N	PERANGKAT DESA
Ketip	1	0	0	0	0	\N	PERANGKAT DESA
Doropayung	1	0	0	0	0	\N	PERANGKAT DESA
Bringin	1	0	0	0	0	\N	PERANGKAT DESA (SEKDES PLT)
Bendar	1	0	0	0	0	\N	PERANGKAT DESA
Karangrejo	1	0	0	0	0	\N	PERANGKAT DESA
Langgenharjo	1	0	0	0	0	\N	PERANGKAT DESA
Sejomulyo	1	0	0	0	0	\N	PERANGKAT DESA
Kauman	1	0	0	0	0	\N	PERANGKAT DESA
Kedalon	1	0	0	0	0	\N	PERANGKAT DESA
Ketitangwetan	1	0	0	0	0	\N	KADES
Bendar	1	0	0	0	0	\N	PERANGKAT DESA
Ngening	1	0	0	0	0	\N	PERANGKAT DESA
Margomulyo	1	0	0	0	0	\N	PERANGKAT DESA
Bakaran Kulon	1	0	0	0	0	\N	PERANGKAT DESA
Jembangan	1	0	0	0	0	\N	KADES
Sejomulyo	1	0	0	0	0	\N	PERANGKAT DESA
Kebonsawahan	1	0	0	0	0	\N	PERANGKAT DESA
Raci	1	0	0	0	0	\N	PERANGKAT DESA
Tompomulyo	1	0	0	0	0	\N	PERANGKAT DESA
Doropayung	1	0	0	0	0	\N	PERANGKAT DESA
Bulumulyo	1	0	0	0	0	\N	PERANGKAT DESA
Bumirejo	1	0	0	0	0	\N	PERANGKAT DESA
Kuniran	1	0	0	0	0	\N	PERANGKAT DESA
Kauman	1	0	0	0	0	\N	PERANGKAT DESA
Karang	1	0	0	0	0	\N	PERANGKAT DESA
Bajomulyo	1	0	0	0	0	\N	KADES
Jembangan	1	0	0	0	0	\N	PERANGKAT DESA
Pecangaan	1	0	0	0	0	\N	PERANGKAT DESA
Kedungpancing	1	0	0	0	0	\N	PERANGKAT DESA
Bumirejo	1	0	0	0	0	\N	PERANGKAT DESA
Tluwah	1	0	0	0	0	\N	PERANGKAT DESA
Bringin	1	0	0	0	0	\N	PERANGKAT DESA
Genengmulyo	1	0	0	0	0	\N	PERANGKAT DESA
Sejomulyo	1	0	0	0	0	\N	PERANGKAT DESA
Gajahkumpul	1	0	0	0	0	\N	PERANGKAT DESA
Bakaran Wetan	1	0	0	0	0	\N	PERANGKAT DESA
Bajomulyo	1	0	0	0	0	\N	KADES
Pekuwon	1	0	0	0	0	\N	PERANGKAT DESA
GrowongLor	1	0	0	0	0	\N	PERANGKAT DESA
Langgenharjo	1	0	0	0	0	\N	PERANGKAT DESA
Mintomulyo	1	0	0	0	0	\N	PERANGKAT DESA
Langgenharjo	1	0	0	0	0	\N	PERANGKAT DESA
Agungmulyo	1	0	0	0	0	\N	KADES
Jepuro	1	0	0	0	0	\N	PERANGKAT DESA
Margomulyo	1	0	0	0	0	\N	PERANGKAT DESA
Bringin	1	0	0	0	0	\N	PERANGKAT DESA (SEKDES PLT)
Sukoagung	1	0	0	0	0	\N	PERANGKAT DESA
Bulumulyo	1	0	0	0	0	\N	PERANGKAT DESA
Ketitangwetan	1	0	0	0	0	\N	KADES
Kudukeras	1	0	0	0	0	\N	PERANGKAT DESA
Pajeksan	1	0	0	0	0	\N	PERANGKAT DESA
Bakaran Wetan	1	0	0	0	0	\N	PERANGKAT DESA
Kuniran	1	0	0	0	0	\N	PERANGKAT DESA
Tluwah	1	0	0	0	0	\N	KADES
Mangunlegi	1	0	0	0	0	\N	PERANGKAT DESA
Trimulyo	1	0	0	0	0	\N	PERANGKAT DESA
Ketip	1	0	0	0	0	\N	PERANGKAT DESA
Kuniran	1	1	0	0	0	\N	Sekretaris Desa / PNS
Kedalon	1	0	0	0	0	\N	PERANGKAT DESA
Sejomulyo	1	1	0	0	0	\N	Sekretaris Desa / PNS
Dukutalit	1	0	0	0	0	\N	PERANGKAT DESA
Mangunlegi	1	0	0	0	0	\N	PERANGKAT DESA
Bakaran Wetan	1	0	0	0	0	\N	PERANGKAT DESA
Ketitangwetan	1	0	0	0	0	\N	PERANGKAT DESA
Gadingrejo	1	0	0	0	0	\N	PERANGKAT DESA
Kauman	1	0	0	0	0	\N	PERANGKAT DESA
Mintomulyo	1	0	0	0	0	\N	PERANGKAT DESA
Bulumulyo	1	0	0	0	0	\N	PERANGKAT DESA
Pecangaan	1	1	0	0	0	\N	Sekretaris Desa / PNS
Bumirejo	1	0	0	0	0	\N	PERANGKAT DESA
Langgenharjo	1	0	0	0	0	\N	PERANGKAT DESA
Langgenharjo	1	0	0	0	0	\N	KADES
Genengmulyo	1	0	0	0	0	\N	PERANGKAT DESA
Langgenharjo	1	0	0	0	0	\N	PERANGKAT DESA
Bakaran Wetan	1	0	0	0	0	\N	PERANGKAT DESA
Sejomulyo	1	0	0	0	0	\N	KADES
Tompomulyo	1	0	0	0	0	\N	PERANGKAT DESA
Trimulyo	1	0	0	0	0	\N	PERANGKAT DESA
Bajomulyo	1	0	0	0	0	\N	PERANGKAT DESA
GrowongKidul	1	0	0	0	0	\N	PERANGKAT DESA
Klayusiwalan	1	0	0	0	0	\N	PERANGKAT DESA
GrowongLor	1	0	0	0	0	\N	PERANGKAT DESA
Gajahkumpul	1	0	0	0	0	\N	PERANGKAT DESA
Kauman	1	0	0	0	0	\N	PERANGKAT DESA
Bendar	1	0	0	0	0	\N	PERANGKAT DESA
Bringin	1	0	0	0	0	\N	PERANGKAT DESA
Batursari	1	0	0	0	0	\N	KADES
Langgenharjo	1	1	0	0	0	\N	Sekretaris Desa / PNS
Batursari	1	0	0	0	0	\N	PERANGKAT DESA
Kedalon	1	0	0	0	0	\N	PERANGKAT DESA
Jepuro	1	0	0	0	0	\N	KADES
Agungmulyo	1	0	0	0	0	\N	PERANGKAT DESA
Raci	1	0	0	0	0	\N	PERANGKAT DESA
Mintomulyo	1	0	0	0	0	\N	PERANGKAT DESA
Tlogomojo	1	0	0	0	0	\N	KADES
Bajomulyo	1	0	0	0	0	\N	PERANGKAT DESA
Gadingrejo	1	0	0	0	0	\N	PERANGKAT DESA
Gadingrejo	1	0	0	0	0	\N	PERANGKAT DESA
Bakaran Kulon	1	0	0	0	0	\N	PERANGKAT DESA
Ketip	1	0	0	0	0	\N	PERANGKAT DESA
Ketip	1	0	0	0	0	\N	Sekretaris Desa / PNS
Bumimulyo	1	0	0	0	0	\N	PERANGKAT DESA
Trimulyo	1	0	0	0	0	\N	PERANGKAT DESA
Lengkong	1	0	0	0	0	\N	PERANGKAT DESA
Gunungsari	1	0	0	0	0	\N	PERANGKAT DESA
Trimulyo	1	0	0	0	0	\N	PERANGKAT DESA
Ngening	1	0	0	0	0	\N	PERANGKAT DESA
Kuniran	1	0	0	0	0	\N	PERANGKAT DESA
Tluwah	1	0	0	0	0	\N	PERANGKAT DESA
Bendar	1	0	0	0	0	\N	PERANGKAT DESA
Karang	1	0	0	0	0	\N	PERANGKAT DESA
Sejomulyo	1	0	0	0	0	\N	PERANGKAT DESA
Bulumulyo	1	0	0	0	0	\N	PERANGKAT DESA
Mangunlegi	1	0	0	0	0	\N	PERANGKAT DESA
Kudukeras	1	1	0	0	0	\N	Sekretaris Desa / PNS
Gunungsari	1	0	0	0	0	\N	PERANGKAT DESA
Raci	1	0	0	0	0	\N	PERANGKAT DESA
Bumimulyo	1	0	0	0	0	\N	PERANGKAT DESA
Trimulyo	1	0	0	0	0	\N	PERANGKAT DESA
Langgenharjo	1	0	0	0	0	\N	PERANGKAT DESA
